jzbonner,170.18 cm,08:30,2 semesters-left,612.677 km
almesa29,170.68 cm,08:15,2 semsters-left,45.7 km
deepdawg,193 cm,06:00,0 semesters-left,69 km
ehood34,181.61 cm,09:07,5 semesters-left,224.664 km
gao14g,160.02 cm,09:00,6 semesters-left,147.416 km
jdmar3,175.26 cm,06:45,3 semesters-left,1129.3 km
millsjb,155.48 cm,09:30,2 semesters-left,194.1 km
pperdemo,157.48 cm,08:44,3 semesters-left,59.1 km
rcmetcalf,157.48 cm,07:45,4 semesters-left,228.527 km
tgram,168.91 cm,09:15,4 semesters-left,233.9 km
